description,id,a1,a2,a3,a4,a5,a6
"Vasquez and Beggs",vab,-1433,5,17.2,-1180,12.61,
"Petrosky and Farshad",paf,1.705E-07,0.69357,0.1885,0.3272,0.6729,-0.5906
